"Source:","/home/paradox/esp-led/v1.1/signal-board/signal-board.sch"
"Date:","Sat 19 Sep 2020 03:24:09 PM PDT"
"Tool:","Eeschema 5.99.0-unknown-5b70856~101~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DigiKey100","DigiKeyPN","Field4","LCSC","Mouser100","MouserPN","Supplier","Supplier Part","digikey part number"
"","","R15","100","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","C17408","","","Digikey","RC0805FR-07100RL",""
"","","R16","100","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","C17408","","","Digikey","RC0805FR-07100RL",""
"","","R17","100","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","C17408","","","Digikey","RC0805FR-07100RL",""
"","","SW1","SW_MEC_5G","Switch:SW_MEC_5G","PTS 647:PTS647SK38SMTR2LFS","https://www.digikey.com/product-detail/en/c-k/PTS-647-SK70-SMTR2-LFS/PTS647SK70SMTR2LFSTR-ND/9649856","","","","","","","digikey","PTS 647 SK70 SMTR2 LFS","PTS647SK70SMTR2LFSTR"
"","","SW2","SW_MEC_5G","Switch:SW_MEC_5G","PTS 647:PTS647SK38SMTR2LFS","https://www.digikey.com/product-detail/en/c-k/PTS-647-SK70-SMTR2-LFS/PTS647SK70SMTR2LFSTR-ND/9649856http://www.apem.com/int/index.php?controller=attachment&id_attachment=488","","","","","","","digikey","PTS 647 SK70 SMTR2 LFS","PTS647SK70SMTR2LFSTR"
"","","U1","TPS63060","Regulator_Switching:TPS63060","Package_SON:Texas_S-PWSON-N10_ThermalVias","http://www.ti.com/lit/ds/symlink/tps63060.pdf","1.584","296-30204-1-ND","","","1.59","595-TPS63060DSCR","DigiKey","",""
"","","U2","ESP32-DEVKITC-32D","ESP32-DEVKITC-32D:ESP32-DEVKITC-32D","MODULE_ESP32-DEVKITC-32D","4","","","Espressif Systems","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DigiKey100","DigiKeyPN","Field4","LCSC","Mouser100","MouserPN","Supplier","Supplier Part","digikey part number"
"1","5","C1, C2, C11, C12, C13","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","0.041","1276-6455-1-ND","","C90545","0.041","80-C0805C106K4PAC","DigiKey","0805F106M160NT",""
"2","1","C3","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","C1525","","","","",""
"3","1","C4","10pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","C32949","","","","",""
"4","3","C5, C6, C7","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","0.1394","1276-6780-1-ND","","C45783","0.243","81-GRM21BR61C226ME4L","DigiKey","",""
"5","2","C8, C9","0.1µF","Device:CP1_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","C1525","","","","",""
"6","1","C10","1uF","Device:CP1_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","C282736","","","digikey","311-1365-1-ND",""
"7","1","D1","Red LED","Device:LED","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm","~","","","","","","","temporary footprint - please correct","",""
"8","1","D2","Green LED","Device:LED","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm","~","","","","","","","temporary footprint - please correct","",""
"9","1","IC1","74HCT245","signal-board-rescue:74HCT245-74HCT245-signal-board-rescue","74HCT245:SOIC-20W_7.5x10.0mm_P1.27mm","","0.336","296-15849-1-ND","","C133641","","","Digikey","296-15849-1-ND",""
"10","1","J1","Jack-DC",":Jack-DC","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","~","1.03","CP-063AH-ND","","","","","","PJ-063AH",""
"11","1","J2","Conn_01x12","Connector_Generic:Conn_01x12","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~","","","","","","","","",""
"12","1","J3","JST SM","Connector_Generic:Conn_01x04","jst-landing-pads:jst-smd-landing","~","","","","","","","","",""
"13","1","J4","Conn_01x16","Connector_Generic:Conn_01x16","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~","","","","","","","","",""
"14","2","J5, J6","switch_jumpers","Connector:Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","",""
"15","1","L1","1uH","Device:L","Inductor_SMD:L_Taiyo-Yuden_NR-40xx_HandSoldering","~","0.179","587-2888-1-ND","","","0.171","963-NRS4018T1R0NDGJ","DigiKey","",""
"16","1","R1","1K","Device:R_US","Resistor_SMD:R_0402_1005Metric","~","","","","C11702","","","","",""
"17","1","R2","110K","Device:R_US","Resistor_SMD:R_0402_1005Metric","~","","","","C25745","","","","",""
"18","1","R3","1M","Device:R_US","Resistor_SMD:R_0402_1005Metric","~","","","","C26083","","","","",""
"19","2","R4, R6","1K","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","C11702","","","","",""
"20","2","R5, R7","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","C25744","","","Digikey","311-10.0KCRCT-ND",""
"21","2","R8, R9","680","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","C25130","","","Digikey","311-1.00KCRCT-ND",""
"22","8","R10, R11, R12, R13, R14, R15, R16, R17","100","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","C17408","","","Digikey","RC0805FR-07100RL",""
"23","2","SW1, SW2","SW_MEC_5G","Switch:SW_MEC_5G","PTS 647:PTS647SK38SMTR2LFS","https://www.digikey.com/product-detail/en/c-k/PTS-647-SK70-SMTR2-LFS/PTS647SK70SMTR2LFSTR-ND/9649856","","","","","","","digikey","PTS 647 SK70 SMTR2 LFS","PTS647SK70SMTR2LFSTR"
"24","1","U1","TPS63060","Regulator_Switching:TPS63060","Package_SON:Texas_S-PWSON-N10_ThermalVias","http://www.ti.com/lit/ds/symlink/tps63060.pdf","1.584","296-30204-1-ND","","","1.59","595-TPS63060DSCR","DigiKey","",""
"25","1","U2","ESP32-DEVKITC-32D","ESP32-DEVKITC-32D:ESP32-DEVKITC-32D","MODULE_ESP32-DEVKITC-32D","4","","","Espressif Systems","","","","","",""
